Train_Until,Test_Year,RMSE,MAE,R²,MAPE
2014,2015,3.8290595140831796,2.4106876627437446,0.38376307180735625,54.909582941648104
2015,2016,4.265696316890699,3.3271980043685394,0.14510008588942858,46.589755703641636
2016,2017,4.6379955709218565,3.165793209291035,-1.0120619128014092,86.23202695807876
2017,2018,3.6310253169446782,1.955305099014433,-0.0772152167323803,127.35500327342844
2018,2019,1.9274690585259686,1.5519958536858998,0.42889479717582313,21.056335895557353
2019,2020,3.4933071563216442,2.397907626253702,0.27510241505063115,50.41707449204922
2020,2021,2.4120005684612864,1.614573569160617,0.5377690611452628,43.7663854497742
2021,2022,4.57882737997038,2.4565363280587276,-0.011587569081383364,49.713208129323185
2022,2023,2.9807253093717354,2.024661462201762,0.3531681740528202,39.360062692448075
2023,2024,6.677159066940559,6.165138951411167,-40.733663338841964,547.0452407124836
2024,2025,7.799372448209019,7.193675136772507,-5.292013575768724,80.26830434555599
